CL;Wind_FLH;Solar_FLH
217;2746,479565857522;1452,1583494075662
218;1360,1623546380838;1324,4577423159276
219;1383,8363659105532;1407,5034583884885
220;1020,9341734544753;1295,0656550909798
221;1623,5629716720716;1323,7804044764498
222;566,6119272033474;1369,3438390075582
223;439,92607625236224;1362,2158932674886
224;1275,7407206427329;1307,7110713599218
225;706,6870060728407;1505,1792139317427
226;2164,0577952755957;1318,2968918504653
227;1216,6960628149525;1362,4765649956416
228;729,470136256486;1378,596632055804
229;1836,153738952274;1358,2098928899593
230;2307,5943729841265;1350,0027214530833
231;3081,627592444134;1338,489001989497
232;2151,928343569884;1306,2147212638642
233;1239,6565095272786;1435,2837050775597
234;640,8817987985424;1386,7076060872637
235;1089,0402378563301;1391,3484386958255
236;2283,198306562288;1333,4316335192939
237;2755,8656044229847;1397,5696322744068
238;2563,432863665739;1418,5204056610307
239;1145,7802991362532;1330,3605139355013
240;1983,077799958147;1343,2311085192598
241;2193,1749231792346;1352,4733138480697
242;1401,2625540266854;1349,8950490935642
243;1330,654801751807;1333,0346760287457
244;2059,0028324643804;1348,798532968422
245;1966,357764384244;1355,175066797352
246;2453,791215314523;1354,0314143425915
247;1454,1365623084585;1350,050395797772
248;1196,1621544480467;1355,5772005966862
249;1588,2873364863892;1508,1107635279084
250;2276,1230491665265;1366,4939265069163
251;2731,2101169550656;1325,836122368515
252;2363,242558824808;1451,4555645671878
253;1502,3189240950169;1392,8539487447406
254;2839,3306662869363;1320,8187886406583
255;2290,5349393700367;1325,8383956933392
256;1099,171496692061;1378,775773697675
257;1190,697100794405;1327,707985792763
258;1464,5052176638094;1349,9992203111317
259;1828,1465496245428;1369,9057388805575
260;1322,9137289140383;1373,908617096954
261;2184,919921082559;1346,1968619252114
262;1778,3221748449246;1308,1198540073367
263;747,583815403533;1366,7970715735144
264;2113,697464089814;1318,3154644472495
265;1500,3750186711236;1300,4335054916771
266;1714,3716511425464;1462,198970058519
267;1159,8489695038086;1414,7665039472838
268;1143,559475649422;1385,8492983034712
269;2148,268521074776;1356,0224079470684
270;1703,3155953120365;1391,4858050394648
271;1480,9564040903952;1299,0979796632762
272;2243,763843295766;1339,1702269424204
273;496,84393825847667;1436,3315773252489
274;1969,4605889948955;1304,1630166180882
275;3223,4921577145024;1449,4249306389713
276;1554,763325268405;1410,0924397129568
277;2235,8289638108995;1374,0982874384772
278;1929,530150165918;1496,4971009346743
279;1873,2973183352724;1385,843208789349
280;667,7703041555408;1367,1867239259184
281;1191,4935474214146;1435,2902811812646
282;2101,4618284712656;1365,1715604911553
283;1136,741328544134;1390,1268451608432
284;1942,5994825586363;1338,5538756056117
285;931,930925662936;1356,4751634481336
286;2281,2171610072032;1359,7704770616153
287;1024,5424956574525;1434,9765379203704
288;1741,4873189716593;1309,1606738100195
289;1636,1695401704512;1305,2701222943112
290;2754,48310560421;1506,3295910684412
291;1345,0774062147286;1356,516859820534
292;3096,1471239059147;1337,5329390445227
293;2518,7070516531167;1325,1923277634087
294;1133,6658644769495;1355,1929016830788
295;1601,6441434030423;1347,6475941315296
296;2330,005576961158;1335,5711150826319
297;1578,3716776855374;1347,1255403977507
298;3180,673326734771;1390,7412917084969
299;1566,6545229962494;1391,0870286744735
