Name;Fueltype;Technology;Set;Country;inst-cap;Duration;YearCommissioned;Retrofit;Latitude;Longitude;File;projectID;Type
Five oaks;Oil;NaN;PP;United Kingdom;8,7;0,0;1995,0;1995,0;51,05011500000001;-0,422073;Department for Business Energy & Industrial Strategy, GOV;{u'GPD': [u'GPD15426', u'GPD15929'], u'OPSD': [u'OEU5322'], u'CARMA': [u'CARMA13514']};OilOther
Nováky;Lignite;Steam Turbine;PP;Slovakia;486,0;0,0;1976,0;2004,0;48,7190624;18,5420563;SEAS;{u'GEO': [u'GEO42634'], u'ENTSOE': [u'24WV--ENO------B'], u'OPSD': [u'OEU5556', u'OEU5557']};Lignite
Ctcc castellon;Natural Gas;CCGT;PP;Spain;839,35;0,0;2008,0;2008,0;39,958846;-0,002194;SEDE;{u'OPSD': [u'OEU5108'], u'GEO': [u'GEO43784', u'GEO43783'], u'CARMA': [u'CARMA7363', u'CARMA7367', u'CARMA7374']};Gas
West burton;Hard Coal;Steam Turbine;PP;United Kingdom;2012,0;0,0;1967,0;1967,0;53,361541;-0,810597;GOV;{u'OPSD': [u'OEU5158'], u'GEO': [u'GEO6038'], u'CARMA': [u'CARMA49313']};Coal
Barry;Natural Gas;CCGT;PP;United Kingdom;235,0;0,0;1998,0;1998,0;51,408887;-3,229519;GOV;{u'OPSD': [u'OEU5140'], u'GEO': [u'GEO2256'], u'CARMA': [u'CARMA3429', u'CARMA3428']};Gas
Ballylumford;Natural Gas;CCGT;PP;United Kingdom;1156,0;0,0;1968,0;2003,0;54,8438645;-5,785779499999999;GOV;{u'OPSD': [u'OEU5126', u'OEU5128'], u'GEO': [u'GEO2233', u'GEO43945', u'GEO43949'], u'CARMA': [u'CARMA3055']};Gas
Zierbena;Natural Gas;OCGT;PP;Spain;785,25;0,0;2003,0;2003,0;43,359035;-3,09211;SEDE;{u'OPSD': [u'OEU5052'], u'GEO': [u'GEO43768'], u'CARMA': [u'CARMA2874']};Gas
Puentes;Lignite;Steam Turbine;PP;Spain;1403,19;0,0;1976,0;1979,0;43,439951;-7,861836999999999;SEDE;{u'OPSD': [u'OEU4853', u'OEU4852', u'OEU4851', u'OEU4850'], u'GEO': [u'GEO43758'], u'CARMA': [u'CARMA2207']};Lignite
Amorebieta;Natural Gas;CCGT;PP;Spain;786,42;0,0;2005,0;2005,0;43,234597;-2,749908;SEDE;{u'OPSD': [u'OEU5083'], u'GEO': [u'GEO43767'], u'CARMA': [u'CARMA1388']};Gas
Delesto;Natural Gas;CCGT;PP;Netherlands;530,0;0,0;;;53,31953000000001;6,948110000000002;Tennet_Q2;{u'OPSD': [u'OEU33', u'OEU32'], u'GEO': [u'GEO45078', u'GEO41986'], u'CARMA': [u'CARMA665']};Gas
Aberthaw;Hard Coal;Steam Turbine;PP;United Kingdom;1586,0;0,0;1971,0;2008,0;51,38747100000001;-3,406652;GOV;{u'OPSD': [u'OEU5216'], u'GEO': [u'GEO1972'], u'CARMA': [u'CARMA123']};Coal
Châtelard barberine;Hydro;Pumped Storage;Store;Switzerland;112,0;0,0;1954,0;1977,0;46,0620181656;6,9585881501;- Débit maximale turbiné: ;{u'OPSD': [u'OEU883'], u'GEO': [u'GEO45486'], u'CARMA': [u'CARMA24733']};PumSt
Coolkeeragh;Natural Gas;CCGT;PP;United Kingdom;408,0;0,0;2005,0;2005,0;55,043914;-7,249869;GOV;{u'OPSD': [u'OEU5145'], u'GEO': [u'GEO2762'], u'CARMA': [u'CARMA9292']};Gas
