Country;Duration;File;Fueltype;Latitude;Longitude;Name;Prob;Retrofit;Set;Technology;Type;YearCommissioned;inst-cap;projectID;Year;year_mu;year_stdev
France;0,0;energy_storage_exchange, RTE;Hydro;45,205931;6,117151;Grand'maison_dam;;2017,0;Store;Pumped Storage;PumSt;1987,0;1820,0;{u'GEO': [u'GEO42969'], u'ESE': [u'ESE6'], u'ENTSOE': [u'17W100P100P02756'], u'CARMA': [u'CARMA15708'], u'OPSD': [u'OEU110']};2017,0;;
Germany;8,0;energy_storage_exchange;Hydro;50,5;11,166666699999999;Goldisthal;;2004,0;Store;Pumped Storage;PumSt;2003,0;1060,0;{u'GEO': [u'GEO44336'], u'ESE': [u'ESE10'], u'ENTSOE': [u'11WD8GOLD1H----6'], u'CARMA': [u'CARMA15413'], u'OPSD': [u'BNA0350']};2004,0;;
Italy;0,0;energy_storage_exchange, Terna;Hydro;44,2439659;7,396407300000001;Rovina_entracque;;1982,0;Store;Pumped Storage;PumSt;1980,0;134,0;{u'GEO': [u'GEO45432', u'GEO45433'], u'ESE': [u'ESE195'], u'ENTSOE': [u'26WIMPI-R01ENTRX'], u'CARMA': [u'CARMA38112', u'CARMA12542'], u'OPSD': [u'OEU1022']};1982,0;;
Spain;0,0;energy_storage_exchange, Red Eléctrica de España, SEDE;Hydro;39,2408334;-0,9429902;Muela;;2013,0;Store;Pumped Storage;PumSt;1989,0;2000,0;{u'GPD': [u'GPD13318', u'GPD13290'], u'OPSD': [u'OEU5124', u'OEU5122', u'OEU3252', u'OEU5123', u'OEU5121', u'OEU4336', u'OEU4338', u'OEU4337'], u'ESE': [u'ESE112'], u'ENTSOE': [u'18WMUEL-12345-03', u'18WMUEB-12345-0T', u'18WMUELP-12345-D'], u'CARMA': [u'CARMA9449']};2013,0;;
Poland;0,0;ENTSOE, GPI;Lignite;50,94818;14,912549999999998;Turów;;1995,0;PP;Steam Turbine;Lignite;1995,0;1488,0;{u'GPD': [u'GPD12067'], u'GEO': [u'GEO40597'], u'ENTSOE': [u'19W000000000199I'], u'CARMA': [u'CARMA46668'], u'OPSD': [u'OEU326', u'OEU325', u'OEU324', u'OEU321', u'OEU322', u'OEU323']};1995,0;;
Denmark;0,0;ENTSOE, Energinet DK;Hard Coal;55,42938;10,41203;Fyn;;1991,0;PP;Steam Turbine;Coal;1991,0;410,0;{u'GPD': [u'GPD5424'], u'GEO': [u'GEO44224'], u'ENTSOE': [u'45V000000000013A'], u'CARMA': [u'CARMA14411'], u'OPSD': [u'OEU5856']};1991,0;;
Switzerland;0,0;Swiss Federal Office of Energy, Schweizerische Eidgenossenschaft;Nuclear;47,36552;7,967789999999999;Gösgen;;1979,0;PP;Steam Turbine;Nuclear;1979,0;1035,0;{u'GPD': [u'GPD14050'], u'GEO': [u'GEO3343'], u'ENTSOE': [u'12W-0000000056-1'], u'CARMA': [u'CARMA15364'], u'OPSD': [u'OEU1015']};1979,0;;
Poland;0,0;ENTSOE, GPI;Hard Coal;50,1317;18,52045;Rybnik;;2008,0;PP;Steam Turbine;Coal;2008,0;1790,0;{u'GPD': [u'GPD12062'], u'GEO': [u'GEO40607'], u'ENTSOE': [u'19W0000000001713'], u'CARMA': [u'CARMA38356'], u'OPSD': [u'OEU307', u'OEU310', u'OEU308', u'OEU305', u'OEU304', u'OEU306', u'OEU309', u'OEU303']};2008,0;;
Poland;0,0;ENTSOE, GPI;Hard Coal;54,04883829999999;23,2837806;Karolin;;;PP;Steam Turbine;Coal;;212,0;{u'GPD': [u'GPD12045', u'GPD12044'], u'GEO': [u'GEO42494'], u'ENTSOE': [u'19W0000000000725', u'19W0000000000741'], u'CARMA': [u'CARMA35615'], u'OPSD': [u'OEU257', u'OEU256']};1972,0;1975,0;5,0
Poland;0,0;ENTSOE, GPI;Hard Coal;50,43534;21,336739999999995;Połaniec;;;PP;Steam Turbine;Coal;;1657,0;{u'GPD': [u'GPD12058'], u'GEO': [u'GEO40656'], u'ENTSOE': [u'19W0000000001519'], u'CARMA': [u'CARMA35099'], u'OPSD': [u'OEU294', u'OEU295', u'OEU293', u'OEU292', u'OEU298', u'OEU296', u'OEU297']};1974,0;1975,0;5,0
